rewards,lengths,targets
1.908692341287727459e+03,2.900000000000000000e+01,1.000000000000000000e+00
3.742983812010749034e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.214409914978934779e+01,3.010000000000000000e+02,0.000000000000000000e+00
6.023234492495507197e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.645807341015652582e+03,1.130000000000000000e+02,1.000000000000000000e+00
4.569917468341342470e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.975730179640024886e+01,3.010000000000000000e+02,0.000000000000000000e+00
5.847370050556805410e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.261577730139188702e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.925139737043921428e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.464005248473401366e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.564469165400992523e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.451875446192964603e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.678477761618258768e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.145655714091871147e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.360561990463290982e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.696051317649692919e+03,9.500000000000000000e+01,1.000000000000000000e+00
5.293822249925813850e+01,3.010000000000000000e+02,0.000000000000000000e+00
5.549404146761506951e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.279143911297953082e+03,2.280000000000000000e+02,1.000000000000000000e+00
3.962824675360258908e+01,3.010000000000000000e+02,0.000000000000000000e+00
5.464853059225276155e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.716032629518014573e+03,8.800000000000000000e+01,1.000000000000000000e+00
3.849589935608654656e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.578286083353233948e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.305899932847552918e+03,2.170000000000000000e+02,1.000000000000000000e+00
2.931154538627738759e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.262525762942490246e+03,2.330000000000000000e+02,1.000000000000000000e+00
1.781598608958467366e+03,6.800000000000000000e+01,1.000000000000000000e+00
3.160378622817348315e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.033927390590190498e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.287186093719883957e+03,2.240000000000000000e+02,1.000000000000000000e+00
3.494113315213754589e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.893246902233408719e+03,3.500000000000000000e+01,1.000000000000000000e+00
4.095050034988214094e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.792124252824560017e+03,6.600000000000000000e+01,1.000000000000000000e+00
4.788501536889345545e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.968136171006897683e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.306638544408543368e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.902608813445741362e+03,3.200000000000000000e+01,1.000000000000000000e+00
5.466143335997460895e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.834080958062608261e+03,5.200000000000000000e+01,1.000000000000000000e+00
4.319652415187979244e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.291461830311805414e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.730710640922687560e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.176035758435876133e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.450347386167344865e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.389391823138680138e+03,1.950000000000000000e+02,1.000000000000000000e+00
3.955797591144442293e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.726685904310282638e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.887419503010199406e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.621018724827218449e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.742757518878126348e+03,8.100000000000000000e+01,1.000000000000000000e+00
1.952257298636446194e+03,1.600000000000000000e+01,1.000000000000000000e+00
