rewards,lengths,targets
1.558829483489048151e+01,2.000000000000000000e+02,0.000000000000000000e+00
-2.818931083161864581e+00,2.000000000000000000e+02,0.000000000000000000e+00
5.944485253077004927e+00,2.000000000000000000e+02,0.000000000000000000e+00
1.029967757612762824e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.163188122236133992e+01,2.000000000000000000e+02,0.000000000000000000e+00
3.402252332704218118e-01,2.000000000000000000e+02,0.000000000000000000e+00
3.530341396104537921e+01,8.900000000000000000e+01,1.000000000000000000e+00
1.954675465591915184e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.043566191692136513e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.125055201085056567e+01,2.000000000000000000e+02,0.000000000000000000e+00
3.198163825216415290e+01,2.000000000000000000e+02,0.000000000000000000e+00
3.058371409259874341e+01,2.000000000000000000e+02,0.000000000000000000e+00
4.512180442099324296e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.993446346929657409e+01,5.900000000000000000e+01,1.000000000000000000e+00
1.959558718127042809e+01,3.900000000000000000e+01,1.000000000000000000e+00
4.332073092251221880e+01,1.590000000000000000e+02,1.000000000000000000e+00
2.928596005616423170e+01,3.500000000000000000e+01,1.000000000000000000e+00
5.644349435142425264e+00,2.000000000000000000e+02,0.000000000000000000e+00
2.383244555493158856e+01,2.400000000000000000e+01,1.000000000000000000e+00
4.857267458146157679e+00,2.000000000000000000e+02,0.000000000000000000e+00
4.958765506956899571e+01,8.200000000000000000e+01,1.000000000000000000e+00
1.433477020306256899e-01,2.000000000000000000e+02,0.000000000000000000e+00
2.374899713467319273e+01,1.300000000000000000e+01,1.000000000000000000e+00
2.306034290967674494e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.033389546216529453e+01,2.000000000000000000e+02,0.000000000000000000e+00
4.094538133667677471e+01,2.000000000000000000e+02,0.000000000000000000e+00
1.871281898170178337e+01,1.000000000000000000e+01,1.000000000000000000e+00
5.062559157594273884e+00,2.000000000000000000e+02,0.000000000000000000e+00
2.353156850528605304e+01,1.800000000000000000e+01,1.000000000000000000e+00
1.951778770620220627e+01,7.000000000000000000e+00,1.000000000000000000e+00
5.708136005088719145e+01,1.350000000000000000e+02,1.000000000000000000e+00
1.522803542411701372e+01,5.000000000000000000e+00,1.000000000000000000e+00
2.099187378877844878e+01,4.900000000000000000e+01,1.000000000000000000e+00
4.681593358175828712e+01,2.000000000000000000e+02,0.000000000000000000e+00
3.685127073288636268e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.861043018722541120e+01,8.900000000000000000e+01,1.000000000000000000e+00
3.475753678570428917e+01,2.000000000000000000e+01,1.000000000000000000e+00
1.426194826876482935e+01,2.000000000000000000e+02,0.000000000000000000e+00
2.152081884521503952e+01,2.000000000000000000e+02,0.000000000000000000e+00
4.715739294528323455e+01,7.500000000000000000e+01,1.000000000000000000e+00
8.016948436255572119e+01,1.650000000000000000e+02,1.000000000000000000e+00
2.900681664481138000e+01,4.400000000000000000e+01,1.000000000000000000e+00
2.390189724295245455e+01,1.000000000000000000e+01,1.000000000000000000e+00
4.772677100896352442e+01,2.000000000000000000e+02,0.000000000000000000e+00
5.457962770988610401e+01,8.100000000000000000e+01,1.000000000000000000e+00
1.541349454611646763e+01,3.000000000000000000e+00,1.000000000000000000e+00
1.873252714935527408e+01,3.300000000000000000e+01,1.000000000000000000e+00
7.012934412528089467e+01,2.000000000000000000e+02,0.000000000000000000e+00
4.382339508802209593e+01,9.100000000000000000e+01,1.000000000000000000e+00
9.476790876275416053e+01,1.460000000000000000e+02,1.000000000000000000e+00
2.389084227019642981e+01,4.300000000000000000e+01,1.000000000000000000e+00
1.714220059428827270e+01,1.200000000000000000e+01,1.000000000000000000e+00
