rewards,lengths,targets
1.956727647330988020e+03,1.500000000000000000e+01,1.000000000000000000e+00
2.571976957351555271e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.719843559253509113e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.600947403445918553e+03,1.240000000000000000e+02,1.000000000000000000e+00
1.848640027093622848e+03,4.700000000000000000e+01,1.000000000000000000e+00
2.000101331688690607e+03,1.000000000000000000e+00,1.000000000000000000e+00
1.752858261888826746e+03,7.700000000000000000e+01,1.000000000000000000e+00
1.503690968358616828e+03,1.550000000000000000e+02,1.000000000000000000e+00
1.739083179870176309e+03,8.400000000000000000e+01,1.000000000000000000e+00
3.079885626889934258e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.971908088507199182e+03,1.000000000000000000e+01,1.000000000000000000e+00
2.000099999999999909e+03,1.000000000000000000e+00,1.000000000000000000e+00
3.861900100612017184e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.418501417437529653e+03,1.790000000000000000e+02,1.000000000000000000e+00
1.696292757226155118e+03,9.500000000000000000e+01,1.000000000000000000e+00
1.883046583219463173e+03,3.700000000000000000e+01,1.000000000000000000e+00
1.416960259519035162e+03,1.810000000000000000e+02,1.000000000000000000e+00
1.119393986156789197e+03,2.750000000000000000e+02,1.000000000000000000e+00
1.908236316445556668e+03,2.900000000000000000e+01,1.000000000000000000e+00
1.944698857641480572e+03,1.800000000000000000e+01,1.000000000000000000e+00
1.043144490486711902e+03,2.990000000000000000e+02,1.000000000000000000e+00
1.838982998690171598e+03,5.100000000000000000e+01,1.000000000000000000e+00
1.533038570512855358e+03,1.450000000000000000e+02,1.000000000000000000e+00
1.797750498592462463e+03,6.300000000000000000e+01,1.000000000000000000e+00
1.512588383465529887e+03,1.520000000000000000e+02,1.000000000000000000e+00
1.887705419823305647e+03,3.500000000000000000e+01,1.000000000000000000e+00
1.660503763561244796e+03,1.060000000000000000e+02,1.000000000000000000e+00
2.000099999999999909e+03,1.000000000000000000e+00,1.000000000000000000e+00
