rewards,lengths,energy,recharges,targets
-3.710685636603832904e+01,1.130000000000000000e+02,4.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.632266821067781137e+01,1.090000000000000000e+02,4.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.101579584273695644e+01,1.170000000000000000e+02,4.680000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.972487246929104288e+01,1.230000000000000000e+02,4.920000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.359495425599065044e+01,1.220000000000000000e+02,4.880000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.785634585656967488e+01,1.260000000000000000e+02,5.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.513294022602588029e+01,1.260000000000000000e+02,5.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.137869923666119121e+01,1.250000000000000000e+02,5.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.589006671078503530e+01,7.000000000000000000e+01,2.800000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
-8.465226937431093290e+01,1.370000000000000000e+02,5.480000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.743420365536209715e+01,1.320000000000000000e+02,5.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.030626413355096531e+02,1.380000000000000000e+02,5.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-8.772167736903574564e+01,1.290000000000000000e+02,5.160000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.306397595106810172e+01,1.230000000000000000e+02,4.920000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.070416248156875128e+01,1.190000000000000000e+02,4.760000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.900842647607622382e+01,1.170000000000000000e+02,4.680000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.665275050722807038e+01,1.120000000000000000e+02,4.480000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.990324983710048201e+01,1.180000000000000000e+02,4.720000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.583612975010275647e+01,1.150000000000000000e+02,4.600000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.563515955404194102e+01,1.140000000000000000e+02,4.560000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-4.720201304844766099e+01,1.130000000000000000e+02,4.520000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.404556838957220322e+01,1.180000000000000000e+02,4.720000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.492425116778163385e+01,1.170000000000000000e+02,4.680000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-8.190571013763543462e+00,1.150000000000000000e+02,4.600000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.175262785949557554e+01,1.200000000000000000e+02,4.800000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.337812630233168321e+01,1.050000000000000000e+02,4.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.028377816498275976e+00,1.130000000000000000e+02,4.520000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
5.707446406938148087e+00,1.110000000000000000e+02,4.440000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.792493604101220050e+00,1.100000000000000000e+02,4.400000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-1.176986249559371167e+01,1.170000000000000000e+02,4.680000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.474711881704612093e+00,1.100000000000000000e+02,4.400000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
-1.552654405245928615e+01,1.060000000000000000e+02,4.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.594596510066837425e+01,1.060000000000000000e+02,4.240000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.275283616398647268e+01,1.120000000000000000e+02,4.480000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-6.713027161306139590e+01,1.100000000000000000e+02,4.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.669664407027512354e+01,1.000000000000000000e+02,4.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
-5.599295199775692566e+01,1.080000000000000000e+02,4.320000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-3.375254589025676921e+01,1.090000000000000000e+02,4.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.849344773869958658e+01,1.180000000000000000e+02,4.720000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.729694031008332189e+01,1.090000000000000000e+02,4.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.058709973313658992e+01,1.100000000000000000e+02,4.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.552948650690909815e+01,1.130000000000000000e+02,4.520000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-2.232907023885099207e+01,1.180000000000000000e+02,4.720000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-8.499754745915545584e+00,1.250000000000000000e+02,5.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00
-6.824376548029433387e+00,1.170000000000000000e+02,4.680000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-7.804352097675177902e+00,1.250000000000000000e+02,5.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-5.021041090354322556e+00,1.150000000000000000e+02,4.600000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
1.901617219572530360e+01,2.000000000000000000e+02,8.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
3.589740263827180478e+00,2.000000000000000000e+02,8.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.036381006758679568e+01,2.000000000000000000e+02,8.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-7.497337313454565333e+00,1.100000000000000000e+02,4.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.946400253959745541e+01,1.110000000000000000e+02,4.440000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
-1.010154609175766716e+01,1.140000000000000000e+02,4.560000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
9.041106287889395077e+00,2.000000000000000000e+02,8.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-1.278130297005164628e+01,2.000000000000000000e+02,8.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00
9.078820955686385474e+00,2.000000000000000000e+02,8.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
3.759093159512104654e-01,2.000000000000000000e+02,8.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.052731152188030705e+01,1.080000000000000000e+02,4.320000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.907582218291610232e+01,1.070000000000000000e+02,4.280000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
-5.994005173858243829e+00,2.000000000000000000e+02,8.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
