rewards,lengths,energy,recharges,targets
-3.285129647820710375e+01,1.110000000000000000e+02,4.440000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.971701905494312967e+01,1.050000000000000000e+02,4.200000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.506682471756990083e+01,1.070000000000000000e+02,4.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-4.776499889658463616e+01,1.070000000000000000e+02,4.280000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.772811190949325066e+01,1.120000000000000000e+02,4.480000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.339159023317289865e+01,1.100000000000000000e+02,4.400000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.674359101264931837e+01,1.090000000000000000e+02,4.360000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
-1.088165897130445892e+01,1.050000000000000000e+02,4.200000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
1.087703391840767253e+00,2.000000000000000000e+02,8.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-1.335234261680052903e+01,1.050000000000000000e+02,4.200000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-1.370091822527496106e+01,1.040000000000000000e+02,4.160000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
-1.817576889468194068e+01,1.070000000000000000e+02,4.280000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
-1.088382567105582943e+01,1.070000000000000000e+02,4.280000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-1.748082330251425276e+01,1.080000000000000000e+02,4.320000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-1.427810528203266038e+01,1.090000000000000000e+02,4.360000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-3.724643492410249834e+00,1.140000000000000000e+02,4.560000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-2.779648290184871939e+01,1.120000000000000000e+02,4.480000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
3.220631617212575959e-01,2.000000000000000000e+02,8.000000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
6.617327187393968302e+00,2.000000000000000000e+02,8.000000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00
-8.095655566907080214e+00,1.050000000000000000e+02,4.200000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
9.245073234362756409e+00,2.000000000000000000e+02,8.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-9.206892455047491763e-01,2.000000000000000000e+02,8.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-5.640512012891303328e+00,1.030000000000000000e+02,4.120000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
-3.797572211701528921e+00,1.040000000000000000e+02,4.160000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00
-1.114513578809035188e+01,1.040000000000000000e+02,4.160000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
-6.737102921817634815e+00,2.000000000000000000e+02,8.000000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
