rewards,lengths,energy,recharges,targets
7.641363539881463396e+01,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.178024290385727909e+03,3.100000000000000000e+01,1.240000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.120356657877880480e+03,3.600000000000000000e+01,1.440000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.092602767063980309e+02,1.010000000000000000e+02,4.040000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00
2.970329028675407244e+03,5.900000000000000000e+01,2.360000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.585812088260612995e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-7.110928497516637137e+00,1.010000000000000000e+02,4.040000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00
3.035819282883730921e+03,6.200000000000000000e+01,2.480000000000000000e+02,4.000000000000000000e+00,1.000000000000000000e+00
2.611754472563470699e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
-2.355006291739923441e+01,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
5.172947043517856400e+02,1.010000000000000000e+02,4.040000000000000000e+02,4.000000000000000000e+00,0.000000000000000000e+00
-1.653511625072503044e+00,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.119790677351960312e+03,6.200000000000000000e+01,2.480000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
1.469675640250783317e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.393695578412743430e+02,1.010000000000000000e+02,4.040000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.253638183696271426e+03,6.000000000000000000e+00,2.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
3.146323957511548542e+03,3.900000000000000000e+01,1.560000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.004041290852619568e+03,3.900000000000000000e+01,1.560000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.923070246630055408e+03,4.000000000000000000e+01,1.600000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.895563826695979515e+03,7.200000000000000000e+01,2.880000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
2.727465069209239573e+03,9.400000000000000000e+01,3.760000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.541239460156593850e+03,8.800000000000000000e+01,3.520000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.848399350269992425e+01,1.010000000000000000e+02,4.040000000000000000e+02,7.000000000000000000e+00,0.000000000000000000e+00
