rewards,lengths,targets
1.682845251920660758e+03,9.900000000000000000e+01,1.000000000000000000e+00
3.246966800077461102e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.652869874526030344e+03,1.070000000000000000e+02,1.000000000000000000e+00
1.989990007006369524e+03,5.000000000000000000e+00,1.000000000000000000e+00
1.689075429535281046e+03,9.600000000000000000e+01,1.000000000000000000e+00
1.982545240908045116e+03,7.000000000000000000e+00,1.000000000000000000e+00
1.498074225728093552e+03,1.560000000000000000e+02,1.000000000000000000e+00
1.762069209211209682e+03,7.400000000000000000e+01,1.000000000000000000e+00
1.655499612606924302e+03,1.090000000000000000e+02,1.000000000000000000e+00
2.739154608548737002e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.420672061598399978e+03,1.800000000000000000e+02,1.000000000000000000e+00
1.897769718927621625e+03,3.200000000000000000e+01,1.000000000000000000e+00
1.468447481904060623e+03,1.660000000000000000e+02,1.000000000000000000e+00
1.735179048986619136e+03,8.200000000000000000e+01,1.000000000000000000e+00
1.370319905301252447e+03,1.970000000000000000e+02,1.000000000000000000e+00
1.588111955997217365e+03,1.270000000000000000e+02,1.000000000000000000e+00
1.718281259016215245e+03,8.800000000000000000e+01,1.000000000000000000e+00
2.006094439617792659e+03,2.000000000000000000e+00,1.000000000000000000e+00
1.778761928601754789e+03,6.800000000000000000e+01,1.000000000000000000e+00
1.563879516023617498e+03,1.360000000000000000e+02,1.000000000000000000e+00
1.392877748092809270e+03,1.910000000000000000e+02,1.000000000000000000e+00
1.864312977097661815e+03,4.300000000000000000e+01,1.000000000000000000e+00
1.586161588212564084e+03,1.290000000000000000e+02,1.000000000000000000e+00
1.958391215745760064e+03,1.500000000000000000e+01,1.000000000000000000e+00
1.764478444667706754e+03,7.400000000000000000e+01,1.000000000000000000e+00
1.973236122254672409e+03,1.000000000000000000e+01,1.000000000000000000e+00
1.986621222512192844e+03,6.000000000000000000e+00,1.000000000000000000e+00
1.486154161471444240e+03,1.590000000000000000e+02,1.000000000000000000e+00
1.143358276212559304e+03,2.680000000000000000e+02,1.000000000000000000e+00
4.205009057874859479e+01,3.010000000000000000e+02,0.000000000000000000e+00
4.065599632133300645e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.469691173978071220e+03,1.660000000000000000e+02,1.000000000000000000e+00
1.894457087988866760e+03,3.300000000000000000e+01,1.000000000000000000e+00
1.872342712055681886e+03,4.000000000000000000e+01,1.000000000000000000e+00
1.399240568186813789e+03,1.860000000000000000e+02,1.000000000000000000e+00
1.784697021590787472e+03,6.700000000000000000e+01,1.000000000000000000e+00
1.828263587611818821e+03,5.400000000000000000e+01,1.000000000000000000e+00
1.971823557497683623e+03,1.000000000000000000e+01,1.000000000000000000e+00
1.713280929908554299e+03,9.000000000000000000e+01,1.000000000000000000e+00
1.039070092195284133e+03,2.970000000000000000e+02,1.000000000000000000e+00
1.151250078376091096e+03,2.640000000000000000e+02,1.000000000000000000e+00
1.363365710897408462e+03,1.990000000000000000e+02,1.000000000000000000e+00
1.287646576653615284e+03,2.240000000000000000e+02,1.000000000000000000e+00
4.169358121750089197e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.434871599903701053e+03,1.760000000000000000e+02,1.000000000000000000e+00
1.760260932006863186e+03,7.700000000000000000e+01,1.000000000000000000e+00
1.474381957297679264e+03,1.640000000000000000e+02,1.000000000000000000e+00
1.874220243794378121e+03,3.900000000000000000e+01,1.000000000000000000e+00
2.418163763668191990e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.595768575835228148e+03,1.260000000000000000e+02,1.000000000000000000e+00
1.600267408194379641e+03,1.240000000000000000e+02,1.000000000000000000e+00
1.059372410237323948e+03,2.950000000000000000e+02,1.000000000000000000e+00
1.563329238466935749e+03,1.350000000000000000e+02,1.000000000000000000e+00
2.001783719555536891e+03,2.000000000000000000e+00,1.000000000000000000e+00
1.965193239751760984e+03,1.200000000000000000e+01,1.000000000000000000e+00
1.634799596818577356e+03,1.140000000000000000e+02,1.000000000000000000e+00
2.000977386729164209e+03,2.000000000000000000e+00,1.000000000000000000e+00
1.587709505950380844e+03,1.280000000000000000e+02,1.000000000000000000e+00
1.937929775014648385e+03,2.000000000000000000e+01,1.000000000000000000e+00
1.328863997441154652e+03,2.070000000000000000e+02,1.000000000000000000e+00
1.730772189381908220e+03,8.600000000000000000e+01,1.000000000000000000e+00
3.381053162683249980e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.914665190743013227e+03,2.800000000000000000e+01,1.000000000000000000e+00
1.519354952904660877e+03,1.490000000000000000e+02,1.000000000000000000e+00
1.808805163194766692e+03,5.900000000000000000e+01,1.000000000000000000e+00
1.986422029254737936e+03,6.000000000000000000e+00,1.000000000000000000e+00
2.001095972305536179e+03,1.000000000000000000e+00,1.000000000000000000e+00
1.789606903073863123e+03,6.500000000000000000e+01,1.000000000000000000e+00
1.774766411228779816e+03,6.900000000000000000e+01,1.000000000000000000e+00
3.569788211517024479e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.993805462366342454e+03,4.000000000000000000e+00,1.000000000000000000e+00
1.735991100403014570e+03,8.100000000000000000e+01,1.000000000000000000e+00
1.522537914320922710e+03,1.470000000000000000e+02,1.000000000000000000e+00
3.339486605668880514e+01,3.010000000000000000e+02,0.000000000000000000e+00
3.701783057913747399e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.671602120831669026e+03,1.020000000000000000e+02,1.000000000000000000e+00
1.835052807517580504e+03,5.100000000000000000e+01,1.000000000000000000e+00
1.470412872715684443e+03,1.660000000000000000e+02,1.000000000000000000e+00
1.632706674631130454e+03,1.150000000000000000e+02,1.000000000000000000e+00
1.559735136977096090e+03,1.380000000000000000e+02,1.000000000000000000e+00
1.396575012760383970e+03,1.870000000000000000e+02,1.000000000000000000e+00
1.818432625166321486e+03,5.700000000000000000e+01,1.000000000000000000e+00
3.770518274956804561e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.986354728665600305e+03,6.000000000000000000e+00,1.000000000000000000e+00
1.548247205963029955e+03,1.400000000000000000e+02,1.000000000000000000e+00
1.859349576145933042e+03,4.400000000000000000e+01,1.000000000000000000e+00
1.563582360645652898e+03,1.360000000000000000e+02,1.000000000000000000e+00
1.871500587104983197e+03,4.000000000000000000e+01,1.000000000000000000e+00
1.363245557879563876e+03,1.980000000000000000e+02,1.000000000000000000e+00
1.894885295980627006e+03,3.300000000000000000e+01,1.000000000000000000e+00
3.944556555447718438e+01,3.010000000000000000e+02,0.000000000000000000e+00
2.573745699466518388e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.826215044963510536e+03,5.400000000000000000e+01,1.000000000000000000e+00
1.852029068324728541e+03,4.600000000000000000e+01,1.000000000000000000e+00
4.063938225109222913e+01,3.010000000000000000e+02,0.000000000000000000e+00
1.360715514806079000e+03,1.970000000000000000e+02,1.000000000000000000e+00
1.151515146497853266e+03,2.640000000000000000e+02,1.000000000000000000e+00
1.990124459146100662e+03,5.000000000000000000e+00,1.000000000000000000e+00
1.655474136040877738e+03,1.070000000000000000e+02,1.000000000000000000e+00
1.896699669355993365e+03,3.400000000000000000e+01,1.000000000000000000e+00
